City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
161,Martapura,ID,-3.4167,114.85,77.09,94,90,2.3,overcast clouds
162,Paralia,GR,38.2,21.7,58.3,82,17,6.22,few clouds
163,Kavieng,PG,-2.5744,150.7967,80.31,80,100,7.27,moderate rain
164,Batagay,RU,67.6333,134.6333,-34.6,96,100,2.62,overcast clouds
165,Avarua,CK,-21.2078,-159.775,78.85,78,20,13.8,few clouds
166,Lompoc,US,34.6391,-120.4579,62.56,68,1,6.91,clear sky
167,Kurakh,RU,41.5849,47.7831,24.22,60,39,7.72,scattered clouds
168,Panguna,PG,-6.3164,155.4848,68.74,93,100,3.11,overcast clouds
169,Paracelis,PH,17.2667,121.4667,65.89,85,97,2.35,overcast clouds
170,Innisfail,AU,-17.5333,146.0333,76.39,80,98,2.93,overcast clouds
171,Sri Aman,MY,1.2376,111.4621,75.25,100,100,0.0,overcast clouds
172,Evensk,RU,61.95,159.2333,27.66,93,100,9.75,overcast clouds
173,Paamiut,GL,61.994,-49.6678,35.4,77,100,25.59,light rain
174,Kamp-Lintfort,DE,51.5,6.5333,49.95,90,100,12.53,overcast clouds
175,Ranghulu,CN,46.65,124.8667,-11.67,88,1,4.99,clear sky
176,Lesnoy,RU,57.6198,63.0784,12.52,91,100,11.72,overcast clouds
177,Tuatapere,NZ,-46.1333,167.6833,59.83,77,100,1.83,light rain
178,Talnakh,RU,69.4865,88.3972,-31.09,91,30,6.42,scattered clouds
179,Gravelbourg,CA,49.8834,-106.5512,-0.13,95,71,12.17,broken clouds
180,Saint George,US,37.1041,-113.5841,50.54,42,1,1.99,clear sky
181,Avera,US,33.194,-82.5271,54.3,54,1,7.96,clear sky
182,Kisoro,UG,-1.2854,29.685,56.89,94,18,1.99,few clouds
183,Cayenne,GF,4.9333,-52.3333,81.09,77,75,8.01,broken clouds
184,Mar Del Plata,AR,-38.0023,-57.5575,78.82,69,0,8.01,clear sky
185,Kununurra,AU,-15.7667,128.7333,82.38,78,100,6.91,overcast clouds
186,Kutum,SD,14.2,24.6667,57.38,35,98,13.27,overcast clouds
187,Mount Gambier,AU,-37.8333,140.7667,57.11,62,90,11.5,overcast clouds
188,College,US,64.8569,-147.8028,-25.65,68,1,6.91,clear sky
189,Songjianghe,CN,42.1859,127.479,-3.26,98,16,4.34,few clouds
190,Dongsheng,CN,39.8161,109.9776,17.6,49,0,3.91,clear sky
191,Coahuayana,MX,18.7333,-103.6833,89.08,52,2,6.87,clear sky
192,Tazovskiy,RU,67.4667,78.7,-14.13,97,100,14.83,overcast clouds
193,Bandiagara,ML,14.3501,-3.6104,82.83,18,0,9.24,clear sky
194,Chuy,UY,-33.6971,-53.4616,89.87,45,0,15.99,clear sky
195,Nishihara,JP,26.1842,127.7558,58.28,82,75,0.0,broken clouds
196,Milkovo,RU,54.7167,158.6167,1.42,99,100,3.38,overcast clouds
197,Batticaloa,LK,7.7102,81.6924,76.41,88,44,8.63,scattered clouds
198,Provideniya,RU,64.3833,-173.3,6.51,97,17,2.71,few clouds
199,Oranjemund,NA,-28.55,16.4333,62.62,87,92,10.78,overcast clouds
200,Najran,SA,17.4924,44.1277,66.85,64,15,4.18,few clouds
201,Hami,CN,42.8,93.45,21.52,49,3,3.4,clear sky
202,Luba,GQ,3.4568,8.5547,76.89,81,100,5.61,overcast clouds
203,New Pitsligo,GB,57.5948,-2.1961,35.26,78,45,21.9,scattered clouds
204,La Ronge,CA,55.1001,-105.2842,-19.95,69,90,4.61,overcast clouds
205,Broome,US,42.2506,-75.833,21.7,73,1,3.0,clear sky
206,Husavik,IS,66.0449,-17.3389,28.31,88,100,20.02,light snow
207,Salalah,OM,17.0151,54.0924,77.09,69,20,3.44,few clouds
208,Mexico,PH,15.0646,120.7198,77.02,80,100,5.66,overcast clouds
209,Middletown,US,39.5151,-84.3983,34.25,61,1,10.36,clear sky
210,Olafsvik,IS,64.8945,-23.7142,28.24,73,98,7.49,overcast clouds
211,Abrau-Dyurso,RU,44.69,37.59,45.86,76,100,28.59,overcast clouds
212,Byron Bay,AU,-28.65,153.6167,77.05,91,70,20.85,broken clouds
213,Baculin,PH,7.4525,126.5842,75.78,88,100,7.83,overcast clouds
214,Zvishavane,ZW,-20.3267,30.0665,73.4,73,62,6.2,broken clouds
215,Dikson,RU,73.5069,80.5464,-35.5,93,31,6.64,scattered clouds
216,Airai,TL,-8.9266,125.4092,61.34,95,100,1.32,overcast clouds
217,Kattivakkam,IN,13.2167,80.3167,79.07,77,15,9.44,few clouds
218,Roald,NO,62.5833,6.1333,36.34,69,40,12.66,light snow
219,Zhezkazgan,KZ,47.8043,67.7144,31.57,98,100,12.53,overcast clouds
220,Grindavik,IS,63.8424,-22.4338,23.47,86,20,9.22,few clouds
221,Faanui,PF,-16.4833,-151.75,80.31,74,100,12.33,overcast clouds
222,Progreso,MX,21.2833,-89.6667,73.51,71,100,18.21,overcast clouds
223,Cortez,US,37.3489,-108.5859,42.42,47,1,0.0,clear sky
224,Kaeo,NZ,-35.1,173.7833,59.32,96,6,3.18,clear sky
225,Raudeberg,NO,61.9875,5.1352,36.27,91,100,8.99,overcast clouds
226,Sand Springs,US,36.1398,-96.1089,47.07,49,1,5.75,clear sky
227,Berlevag,NO,70.8578,29.0864,17.6,67,0,17.27,clear sky
228,Biak,ID,-0.9131,122.8766,75.76,86,100,4.76,overcast clouds
229,Sibolga,ID,1.7427,98.7792,75.96,89,26,3.02,light rain
230,Japura,ID,-0.3167,102.35,72.88,98,99,2.19,overcast clouds
231,Ardakan,IR,32.31,54.0175,53.98,65,19,2.66,few clouds
232,Ishigaki,JP,24.3448,124.1572,70.21,69,100,16.96,overcast clouds
233,Iberia,US,29.9502,-91.7507,44.98,42,1,11.5,clear sky
234,Sioux Lookout,CA,50.1001,-91.917,3.58,78,40,3.44,scattered clouds
235,Puerto Escondido,MX,15.85,-97.0667,86.0,51,0,7.99,clear sky
236,Klaksvik,FO,62.2266,-6.589,36.52,89,100,55.5,overcast clouds
237,Arcoverde,BR,-8.4189,-37.0539,86.22,35,56,2.21,broken clouds
238,Turayf,SA,31.6725,38.6637,43.05,65,0,4.61,clear sky
239,Mecca,SA,21.4267,39.8261,66.07,62,16,8.19,few clouds
240,Bonavista,CA,48.6499,-53.1147,32.11,69,100,26.28,overcast clouds
241,Ouesso,CG,1.6136,16.0517,78.22,34,100,1.97,overcast clouds
242,Carballo,ES,43.213,-8.691,58.77,90,100,14.12,overcast clouds
243,San Quintin,MX,30.4833,-115.95,60.44,49,100,8.66,overcast clouds
244,Kenai,US,60.5544,-151.2583,6.85,51,1,28.77,clear sky
245,Udachnyy,RU,66.4167,112.4,-46.55,80,67,1.57,broken clouds
246,Rock Sound,BS,24.9,-76.2,78.24,68,0,14.34,clear sky
247,Marang,MY,5.2056,103.2059,78.71,90,100,7.83,overcast clouds
248,Manoel Urbano,BR,-8.8389,-69.2597,89.73,53,99,4.63,overcast clouds
249,Kangaatsiaq,GL,68.3065,-53.4641,3.56,88,11,6.53,few clouds
250,Almaznyy,RU,48.0448,40.045,35.74,100,100,19.28,overcast clouds
251,Tabou,CI,4.423,-7.3528,79.61,80,95,7.29,overcast clouds
252,Zlobin,HR,45.2924,14.6541,42.39,94,75,1.14,broken clouds
253,Tiarei,PF,-17.5333,-149.3333,82.42,79,100,14.83,moderate rain
254,Comodoro Rivadavia,AR,-45.8667,-67.5,78.66,13,6,43.73,dust
255,Te Karaka,NZ,-38.4654,177.8679,60.87,81,94,1.66,overcast clouds
